"","ZIPCODE","POPULATION","AREA","COUNTY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","density"
"169","11206",83575,40700720.9727291,"Kings",NA,NA,NA,NA,NA,NA,NA,192,207,215.166666666667,249.833333333333,263,293.916666666667,294.166666666667,280,294.25,304.692307692308,310.916666666667,347,390.833333333333,368.75,404.6,20.53
"10","10006",3011,1716640.92012239,"New York",NA,NA,NA,NA,NA,NA,NA,NA,803.25,827.083333333333,951.416666666667,1037.08333333333,1108.75,1030.91666666667,849.833333333333,875.083333333333,970.692307692308,1055.25,1148.08333333333,1266.16666666667,1291.58333333333,1286.8,17.54
"233","11412",35019,45842752.226073,"Queens",NA,NA,NA,NA,NA,NA,NA,167,199,236.75,292.333333333333,305.166666666667,285.5,249.916666666667,251.333333333333,232.083333333333,226.769230769231,238.166666666667,246.333333333333,249.5,277.083333333333,296.4,7.64
"9","10005",8107,2082901.14073505,"New York",NA,NA,NA,NA,NA,NA,NA,NA,848.25,840.083333333333,910,955.083333333333,1050,1052.58333333333,970.583333333333,979.75,994.384615384615,1038.16666666667,1110.66666666667,1202,1339.5,1343.4,38.92
"204","11251",74,10245952.2542422,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07
"5","10004",2187,4002521.0970287,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,902.75,976.916666666667,1027.83333333333,1102.5,1114.75,1074.91666666667,1055.33333333333,1053.38461538462,1164.16666666667,1309.58333333333,1378.75,1469.25,1464,5.46
"232","11411",18216,35889597.3834009,"Queens",NA,NA,NA,NA,NA,NA,NA,209.5,243.333333333333,287.083333333333,349,367.833333333333,339.666666666667,298.833333333333,299.583333333333,277.666666666667,268,273.083333333333,283.75,292.416666666667,320.5,338.6,5.08
"165","11201",53041,41094886.7657365,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.428571428571,587.333333333333,626.25,650.916666666667,670.916666666667,692.615384615385,798.333333333333,925,1051.66666666667,1134.41666666667,1151,12.91
"6","10004",2187,1202707.70744839,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,902.75,976.916666666667,1027.83333333333,1102.5,1114.75,1074.91666666667,1055.33333333333,1053.38461538462,1164.16666666667,1309.58333333333,1378.75,1469.25,1464,18.18
"168","11205",41125,23270147.9497623,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.571428571429,400.5,408.538461538462,459.666666666667,488.666666666667,543.166666666667,660.75,707.2,17.67
"171","11208",94410,79303684.263991,"Kings",NA,NA,NA,NA,NA,NA,NA,161,207.833333333333,245.25,301.166666666667,324,322.666666666667,269.25,250.916666666667,238.5,229.307692307692,228.916666666667,257,286.333333333333,296.583333333333,329.4,11.9
"170","11207",93556,73966260.541061,"Kings",NA,NA,NA,NA,NA,NA,NA,175,221.75,239.833333333333,274,290.5,278,275.583333333333,266.333333333333,256,245.615384615385,243.416666666667,270.666666666667,296.583333333333,306.916666666667,330.8,12.65
"7","10004",2187,7679615.51100765,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,902.75,976.916666666667,1027.83333333333,1102.5,1114.75,1074.91666666667,1055.33333333333,1053.38461538462,1164.16666666667,1309.58333333333,1378.75,1469.25,1464,2.85
"8","10004",2187,670708.01999656,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,902.75,976.916666666667,1027.83333333333,1102.5,1114.75,1074.91666666667,1055.33333333333,1053.38461538462,1164.16666666667,1309.58333333333,1378.75,1469.25,1464,32.61
